type,modified,language,license,rightsholder,datasetid,datasetname,institutioncode,basisofrecord,eventid,samplingprotocol,eventdate,eventremarks,locality,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters
Event,2017-01-23T11:20:56Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1355:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-06-29T00:00:00Z,location name: Bovenschelde - Stroomop Complex Kerkhove | location description: NA,Bovenschelde - stroomop complex Kerkhove,50.78851,3.49191,WGS84,30
Event,2016-10-18T14:14:47Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1356:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-02-06T00:00:00Z,location name: Bovenschelde - Halverwege Asper/Oudenaarde | location description: NA,AspOud,50.88042,3.63298,WGS84,30
Event,2016-10-18T12:20:28Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1357:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-02-06T00:00:00Z,location name: Bovenschelde - Stuwgeul Kerkhove | location description: NA,stgKer,50.79177,3.49674,WGS84,30
Event,2016-10-17T21:57:07Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1358:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-01-04T00:00:00Z,location name: Bovenschelde - Stuwgeul Asper | location description: NA,stgAsp,51.00436,3.80541,WGS84,30
Event,2016-10-17T21:43:35Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1359:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-01-06T00:00:00Z,location name: Bovenschelde - Stroomop Stuw Tijarm | location description: NA,Tsost,50.99154,3.72347,WGS84,30
Event,2017-10-18T08:34:25Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1360:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-01-04T10:00:00Z,location name: Bovenschelde - Stroomop Complex Asper | location description: NA,soAsp,50.91475,3.67292,WGS84,30
Event,2016-10-17T21:51:41Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1361:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-01-04T00:00:00Z,location name: Bovenschelde - Kop Sluismuur Asper | location description: NA,slAsp,50.91737,3.66569,WGS84,30
Event,2016-10-17T22:16:39Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1362:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-01-04T00:00:00Z,location name: Bovenschelde - Stuwgeul Oudenaarde | location description: NA,stgOud,50.85236,3.62237,WGS84,30
Event,2016-10-17T22:24:20Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1364:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-01-04T00:00:00Z,location name: Bovenschelde - Stroomop Complex Oudenaarde | location description: NA,soOud,50.84844,3.61668,WGS84,30
Event,2016-10-17T22:08:27Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1365:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-01-04T00:00:00Z,location name: Bovenschelde - Kop Sluismuur Oudenaarde | location description: NA,sIOud,50.85112,3.61988,WGS84,30
