type,modified,language,license,rightsholder,datasetid,datasetname,institutioncode,basisofrecord,eventid,samplingprotocol,eventdate,eventremarks,locality,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters
Event,2016-02-23,en,http://creativecommons.org/publicdomain/zero/1.0/,VLIZ,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),VLIZ,MachineObservation,urn:catalog:etn:bpns:1914:event-receiver-deployment,receiver deployment,2014-04-17/2014-06-20,location name: D1 | location description: ,bpns-D1,51.2325,2.64317,WSG84,30
Event,2016-02-23,en,http://creativecommons.org/publicdomain/zero/1.0/,VLIZ,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),VLIZ,MachineObservation,urn:catalog:etn:bpns:1916:event-receiver-deployment,receiver deployment,2015-02-19/2015-06-26,location name: D1 | location description: ,bpns-D1,51.2325,2.64317,WSG84,30
Event,2016-02-23,en,http://creativecommons.org/publicdomain/zero/1.0/,VLIZ,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),VLIZ,MachineObservation,urn:catalog:etn:bpns:1915:event-receiver-deployment,receiver deployment,2014-06-20/2015-02-19,recover latitude: 51.23333 | recover longitude: 2.64450 | location name: D1 | location description: ,bpns-D1,51.2325,2.64317,WSG84,30
Event,2016-02-23,en,http://creativecommons.org/publicdomain/zero/1.0/,VLIZ,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),VLIZ,MachineObservation,urn:catalog:etn:bpns:1547:event-receiver-deployment,receiver deployment,2015-06-26/2015-10-29,recover latitude: 51.23333 | recover longitude: 2.64450 | location name: D1 | location description: ,bpns-D1,51.2325,2.64317,WSG84,30
Event,2016-03-21,en,http://creativecommons.org/publicdomain/zero/1.0/,VLIZ,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),VLIZ,MachineObservation,urn:catalog:etn:bpns:1917:event-receiver-deployment,receiver deployment,2015-10-29/2016-03-17,location name: D1 | location description: NA,bpns-D1,51.2325,2.64317,WSG84,30
Event,2016-07-01,en,http://creativecommons.org/publicdomain/zero/1.0/,VLIZ,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),VLIZ,MachineObservation,urn:catalog:etn:bpns:1395:event-receiver-deployment,receiver deployment,2014-03-11/2015-02-19,recover latitude: 51.16090 | recover longitude: 2.69055 | location name: Nieuwpoort Kust 8 | location description: NA,bpns-NIEUWPOORTKUST8,51.16017,2.69183,WSG84,30
Event,2016-03-07,en,http://creativecommons.org/publicdomain/zero/1.0/,VLIZ,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),VLIZ,MachineObservation,urn:catalog:etn:bpns:1458:event-receiver-deployment,receiver deployment,2014-06-25/2015-05-11,location name: BIRKENFILS | location description: NA,bpns-BIRKENFELS,51.64933,2.53383,WSG84,30
Event,2016-07-19,en,http://creativecommons.org/publicdomain/zero/1.0/,VLIZ,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),VLIZ,MachineObservation,urn:catalog:etn:bpns:1988:event-receiver-deployment,receiver deployment,2015-01-22/2015-02-10,recover latitude: 51.39216 | recover longitude: 3.30500 | location name: W1 | location description: NA,bpns-W1,51.39133,3.30367,WSG84,30
Event,2016-07-19,en,http://creativecommons.org/publicdomain/zero/1.0/,VLIZ,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),VLIZ,MachineObservation,urn:catalog:etn:bpns:2152:event-receiver-deployment,receiver deployment,2014-03-17/2015-01-22,recover latitude: 51.39216 | recover longitude: 3.30500 | location name: W1 | location description: NA,bpns-W1,51.39133,3.30367,WSG84,30
Event,2016-07-19,en,http://creativecommons.org/publicdomain/zero/1.0/,VLIZ,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),VLIZ,MachineObservation,urn:catalog:etn:bpns:1398:event-receiver-deployment,receiver deployment,2015-02-17/2015-06-26,recover latitude: 51.39216 | recover longitude: 3.30500 | location name: W1 | location description: NA,bpns-W1,51.39133,3.30367,WSG84,30
